from_id;to_id;walk_t;walk_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d
5889221;5976964;457;31987;126;100;34113;-1;-1;-1;56;38188;49;38622
5889222;5976964;469;32796;132;103;35441;-1;-1;-1;56;38875;49;39308
5889223;5976964;470;32913;114;84;34450;102;96;36334;57;38967;50;39401
5889224;5976964;501;35071;106;84;34478;100;86;34308;56;39025;49;39458
5889225;5976964;498;34866;103;81;34272;100;83;34103;48;38801;42;38801
5889226;5976964;491;34374;99;77;33775;95;76;33611;48;38362;41;38362
5889227;5976964;489;34237;99;82;34083;95;80;33914;47;38131;41;38131
5889228;5976964;492;34424;99;81;34270;97;83;34101;50;38345;43;38345
5889229;5976964;496;34705;105;85;34552;96;87;34382;52;38981;46;38981
5889230;5976964;494;34592;115;103;34022;-1;-1;-1;49;38367;43;38367
5889231;5976964;492;34445;114;101;33876;-1;-1;-1;48;38385;42;38385
5889232;5976964;495;34682;117;107;36049;-1;-1;-1;52;38819;46;38819
5889233;5976964;500;35020;123;112;36387;-1;-1;-1;58;41052;51;41052
5889234;5976964;502;35108;121;109;34902;106;103;34900;55;40841;48;40841
5889235;5976964;502;35150;117;106;36617;106;105;41621;54;41468;47;41468
5889236;5976964;501;35087;116;102;36380;106;101;41384;55;41178;48;41178
5889237;5976964;508;35572;121;102;36601;106;104;41605;56;41633;49;41633
5889238;5976964;511;35748;123;105;36778;-1;-1;-1;57;42666;50;42666
5890919;5976964;299;20896;84;73;24592;82;71;22929;40;24387;35;24387
5890920;5976964;296;20686;83;69;22587;82;71;22934;42;24413;37;24413
5890921;5976964;301;21068;84;73;24588;82;71;22924;43;24358;39;24358
5890922;5976964;304;21273;87;77;24876;87;75;23212;36;22123;32;22123
5890923;5976964;280;19566;78;62;23228;74;60;21564;34;21949;30;21949
5890924;5976964;277;19368;74;58;22985;74;56;21322;34;22225;30;22225
5890925;5976964;275;19228;74;56;22849;69;54;21186;35;22450;30;22450
5890926;5976964;278;19480;78;60;23101;76;58;21438;37;23055;33;23055
5890927;5976964;282;19722;79;63;23343;77;61;21680;38;22979;34;22979
5890928;5976964;266;18618;81;67;22210;81;65;20547;33;22046;30;22046
5890929;5976964;264;18475;79;65;22067;79;63;20404;37;22085;33;22085
5890930;5976964;266;18628;81;67;22221;83;65;20558;34;21561;31;21561
5890931;5976964;258;18058;95;85;21896;98;83;20232;37;23573;33;23573
5890932;5976964;256;17892;94;82;21729;97;80;20066;36;23247;32;23247
5890933;5976964;249;17401;87;75;21238;95;73;19575;36;22938;32;22938
5890934;5976964;249;17399;87;75;21236;95;73;19573;38;22784;34;22784
5890935;5976964;249;17451;89;76;21288;95;74;19625;41;22833;37;22833
5890936;5976964;-1;-1;-1;-1;-1;-1;-1;-1;40;22487;36;22487
5890937;5976964;261;18297;93;71;20026;91;68;20026;37;22430;33;22430
5890938;5976964;257;17970;89;66;19699;88;63;19699;38;23342;34;23342
5890939;5976964;252;17658;84;62;19387;90;59;19387;38;23131;34;23131
5890940;5976964;249;17430;84;58;19150;91;55;19150;41;22987;37;22987
5890941;5976964;252;17669;84;62;19389;88;59;19389;41;22614;37;22614
5890942;5976964;244;17076;91;76;19779;96;73;19779;40;22693;36;22693
5890943;5976964;247;17317;99;86;20468;99;83;20468;40;22923;36;22923
5890944;5976964;245;17142;95;83;20292;98;80;20292;38;23175;34;23175
5890945;5976964;250;17474;98;77;18998;100;85;20625;40;23637;36;23637
5890946;5976964;254;17746;95;74;18790;99;81;18993;41;21970;36;21970
5890947;5976964;241;16852;89;64;18109;93;72;18312;40;21740;35;21740
5890948;5976964;240;16766;87;60;17810;87;63;17810;39;21378;34;21378
5890949;5976964;237;16574;85;67;17618;84;60;17618;40;21220;35;21220
5890950;5976964;233;16294;78;62;17243;74;55;17243;39;20973;35;20973
5890951;5976964;231;16156;78;58;16980;74;51;16980;38;20673;33;20673
5890952;5976964;230;16072;75;56;16823;71;49;16823;37;20430;33;20430
5890953;5976964;233;16329;78;60;17704;74;53;17704;41;20984;36;20984
5890954;5976964;257;17958;89;60;18923;87;63;18923;38;23100;34;23100
5890955;5976964;252;17666;82;66;18631;80;59;18631;37;23096;33;23096
5890956;5976964;254;17766;85;68;18731;84;61;18731;38;23242;34;23242
5890957;5976964;258;18034;89;61;19000;87;64;19000;37;22379;33;22379
5890958;5976964;238;16640;89;63;19104;74;55;19068;39;22368;35;22368
5890959;5976964;233;16312;89;64;19187;77;57;19746;36;21774;32;21774
5890960;5976964;226;15832;89;67;19362;74;50;19285;35;21383;31;21383
5890961;5976964;229;15997;89;69;19508;74;52;19431;36;21546;31;21546
5890962;5976964;235;16417;95;75;19928;80;58;19851;37;21501;33;21501
5890963;5976964;238;16687;98;78;20198;87;62;20121;38;22048;34;22048
5890964;5976964;224;15665;89;72;19985;79;59;22790;33;20994;29;20994
5890965;5976964;223;15610;79;67;19608;72;54;22424;36;21229;32;21229
5890966;5976964;226;15846;85;70;19844;76;57;22660;37;21614;33;21614
5890967;5976964;236;16496;79;63;20004;85;65;19578;34;21885;30;21885
5890968;5976964;235;16453;79;61;19870;81;63;19444;36;22293;31;22293
5890969;5976964;235;16466;80;71;18518;88;74;19215;40;23552;36;23552
5890970;5976964;229;16036;79;65;18088;85;67;18785;37;21805;33;21805
5890971;5976964;234;16395;80;70;18447;86;73;19144;35;21748;31;21748
5890972;5976964;235;16448;83;68;19190;81;63;20211;34;23029;31;23029
5890973;5976964;233;16289;79;68;20241;79;60;20003;35;22964;31;22964
5890974;5976964;234;16388;73;62;19463;79;59;19922;33;22446;29;22446
5890975;5976964;235;16456;77;63;19508;79;60;19597;34;22556;30;22556
5890976;5976964;236;16538;79;60;19307;80;61;20564;33;22124;29;22124
5890977;5976964;239;16761;83;63;19531;83;66;20896;34;22584;30;22584
5890978;5976964;228;15958;87;66;20910;85;72;20894;34;23042;29;23042
5890979;5976964;224;15646;84;63;20723;85;75;21059;33;22763;29;22763
5890980;5976964;222;15542;79;60;20468;85;72;21343;32;22075;28;22075
5890981;5976964;214;14972;83;63;20682;84;75;21558;35;23485;31;23485
