from_id;to_id;walk_t;walk_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d
5887263;5976964;240;16828;78;61;18242;74;53;18938;35;22271;31;22271
5887264;5976964;237;16600;82;64;18479;74;50;18710;35;22002;31;22002
5887265;5976964;237;16602;87;58;18795;74;51;18794;36;22099;32;22099
5887266;5976964;236;16503;92;76;20014;79;59;19937;38;22325;33;22325
5887267;5976964;235;16428;92;75;19939;79;58;19862;37;21782;33;21782
5887268;5976964;238;16664;94;80;21611;85;62;20097;37;22757;33;22757
5887269;5976964;244;17097;89;73;20024;88;73;24412;37;22574;33;22574
5887270;5976964;240;16815;83;69;19742;84;65;23927;37;22249;32;22249
5887271;5976964;236;16513;79;64;19440;79;60;23625;35;21925;31;21925
5887272;5976964;232;16233;79;60;19160;74;57;23371;36;21765;32;21765
5887273;5976964;237;16563;79;63;20201;81;61;23344;36;21940;31;21940
5887274;5976964;240;16783;79;64;19298;81;65;23565;36;22565;32;22565
5887275;5976964;236;16485;82;71;18537;88;74;19234;38;23038;34;23038
5887276;5976964;236;16489;82;71;18541;88;74;19238;41;23241;36;23241
5887277;5976964;250;17502;91;80;23416;91;78;23213;37;24222;33;24222
5887278;5976964;245;17165;84;71;22220;84;66;20758;35;23392;31;23392
5887279;5976964;242;16924;83;67;21978;81;62;20517;35;23154;31;23154
5887280;5976964;241;16871;79;65;21839;79;61;20399;35;23002;31;23002
5887281;5976964;244;17115;84;66;21509;84;64;21306;35;22821;31;22821
5887282;5976964;244;17096;84;64;21199;80;62;20996;34;22653;31;22653
5887283;5976964;247;17286;84;64;21249;80;63;21046;37;23200;34;23200
5887284;5976964;241;16874;87;72;21768;88;70;21565;36;23188;31;23188
5887285;5976964;241;16866;90;75;21977;88;73;21774;34;22752;29;22752
5887286;5976964;222;15546;82;63;20694;85;75;21570;34;22617;30;22617
5887287;5976964;225;15778;86;66;20932;89;79;27437;34;22884;30;22884
5887288;5976964;229;15996;87;70;21149;90;78;27318;36;23166;32;23166
5887289;5976964;224;15662;87;69;21850;90;81;22726;33;23132;29;23132
5887290;5976964;224;15709;87;70;21897;90;82;22773;35;23392;31;23392
5887291;5976964;220;15365;80;72;21132;85;72;26217;37;24066;33;21401
5887292;5976964;219;15336;80;71;21100;84;71;26184;35;23942;31;21278
5887293;5976964;221;15485;85;74;23651;86;75;26480;37;24608;32;24608
5887294;5976964;223;15637;78;73;23158;85;71;20836;36;24455;31;24455
5887295;5976964;225;15772;85;68;23264;85;74;20786;36;24496;31;21745
5887296;5976964;225;15770;76;65;23061;82;72;27352;37;24991;31;22240
5887297;5976964;227;15889;85;80;23661;83;76;23614;37;26960;32;26993
5887298;5976964;229;16011;84;75;24631;81;72;23353;42;27448;36;25151
5887299;5976964;231;16200;77;73;24040;76;69;27468;38;27194;32;24897
5887300;5976964;234;16378;75;66;25987;74;67;25857;39;25481;33;25481
5887301;5976964;238;16650;69;60;25578;71;61;25448;38;23949;33;23949
5887302;5976964;239;16727;64;57;25389;66;58;25260;35;24186;30;24186
5887303;5976964;239;16746;63;55;25278;64;56;25149;33;23527;28;23527
5887304;5976964;240;16783;66;58;25445;66;59;25316;36;23223;31;23223
5887305;5976964;242;16911;71;60;24825;67;56;24822;32;22909;27;22909
5887306;5976964;242;16910;74;54;24440;63;50;24438;30;23024;26;23024
5887307;5976964;244;17103;74;59;24754;66;55;24751;31;23392;27;22824
5887308;5976964;246;17248;77;64;25137;73;60;25134;34;24611;29;23576
5887309;5976964;251;17582;80;69;25483;75;65;25480;38;24978;33;23942
5887310;5976964;255;17850;91;82;27933;97;85;28361;36;24623;31;24623
5887311;5976964;255;17869;101;92;25781;97;93;28935;39;24722;34;24722
5887312;5976964;263;18408;91;82;27960;97;85;28388;37;25317;32;25317
5887313;5976964;258;18038;92;83;28012;97;86;28440;37;25674;32;25674
