CLASS,area
32111,1833.7467855105149
32112,2148.1682085057346
32200,105736.82189193157
32417,102.66777949892219
32421,679279.6545039193
32500,109746.68783052999
32611,13148071.439269768
32612,107343.07797553702
32800,1407230.9490656988
32900,615839.1249592721
33000,659464.6758634493
33100,3769075.6667607124
34100,12362888.100333406
34300,1627.0788294986928
34700,2785.7511990005496
35300,1382939.657899599
35411,392800.40747867135
35412,4708320.67303053
35421,67863.74341145632
36200,9986966.295089
36313,43460.28908141164
